weiss.re: 10 aspmx.l.google.com.
weiss.re: 30 aspmx2.googlemail.com.
brilliant.re: 10 alt4.aspmx.l.google.com.
brilliant.re: 5 alt2.aspmx.l.google.com.
brilliant.re: 1 aspmx.l.google.com.
brilliant.re: 5 alt1.aspmx.l.google.com.
brilliant.re: 10 alt3.aspmx.l.google.com.
intersport.re: 0 mx3.nameshield.com.
intersport.re: 10 mx4.nameshield.net.
agence.re: 100 mxbackup2.junkemailfilter.com.
agence.re: 10 mxbackup1.junkemailfilter.com.
agence.re: 0 _dc-mx.9b895598cc8b.agence.re.
k8s.re: 20 in2-smtp.messagingengine.com.
k8s.re: 10 in1-smtp.messagingengine.com.
heimdall.re: 10 odin.heimdall.re.
schenk.re: 20 mx2.zoho.com.
schenk.re: 50 mx3.zoho.com.
schenk.re: 10 mx.zoho.com.
newmexico.re: 10 smtp02.topdns.com.
